Time,Parts0_X,Parts0_Y,Parts0_Z,Parts1_X,Parts1_Y,Parts1_Z,Parts2_X,Parts2_Y,Parts2_Z,Parts3_X,Parts3_Y,Parts3_Z,Parts4_X,Parts4_Y,Parts4_Z,Parts5_X,Parts5_Y,Parts5_Z,Parts6_X,Parts6_Y,Parts6_Z,Parts7_X,Parts7_Y,Parts7_Z,Parts8_X,Parts8_Y,Parts8_Z,Parts9_X,Parts9_Y,Parts9_Z,Parts10_X,Parts10_Y,Parts10_Z,Parts11_X,Parts11_Y,Parts11_Z,Parts12_X,Parts12_Y,Parts12_Z,Parts13_X,Parts13_Y,Parts13_Z,Parts14_X,Parts14_Y,Parts14_Z
136.1331972,-3.427956,434.4792,-83.78062,-2.973401,217.6213,-42.41125,0,0,0,-159.6181,213.7805,-42.45892,-83.46384,46.25272,196.7867,146.0604,-15.01531,341.2507,151.2181,220.3613,-42.45893,226.0997,-26.56377,163.7535,114.3531,-89.18999,421.0297,-90.97298,-223.7289,36.31898,-78.82796,-655.4026,-59.71862,-88.07702,-1039.065,-120.5075,96.11451,-222.1139,47.53458,178.0337,-650.194,-52.74465,286.7342,-1041.393,-100.1033
136.1998638,3.30217,435.4271,-79.28005,-1.055451,217.5427,-42.13605,0,0,0,-159.4984,214.7944,-41.46652,-89.10352,62.71165,217.2768,135.0128,-8.843073,356.1619,152.7395,220.304,-41.46653,257.9871,-22.5161,157.7518,158.1243,-80.94778,422.0734,-87.04279,-221.793,28.97278,-76.42465,-654.855,-51.66143,-66.0263,-1037.313,-113.9887,113.3653,-222.2128,36.2229,186.2459,-649.1677,-43.95229,310.15,-1037.779,-111.8405
136.2665304,4.429329,434.0854,-88.82269,0.1307482,216.6852,-44.88295,0,0,0,-155.9904,213.6066,-45.66512,-80.21068,62.25157,213.145,125.2527,-15.29523,375.1662,150.0591,212.332,-45.66514,195.3463,-21.83174,196.8749,67.18611,-86.53035,450.4004,-98.23163,-220.162,39.92711,-71.87133,-651.4398,-53.87071,-66.69187,-1041.219,-115.5059,92.46898,-222.0285,51.16404,185.1192,-643.823,-40.09113,314.323,-1044.536,-103.0356
136.333197,1.529134,439.7099,-80.8299,-0.6652889,217.3846,-41.17679,0,0,0,-155.7802,217.3262,-40.81022,-75.29916,63.92969,249.8424,152.8371,-12.5958,370.4701,147.3315,214.3586,-40.81023,241.9998,-15.80958,176.2177,159.0868,-79.07098,447.7223,-98.66245,-217.721,37.85563,-64.95803,-646.5246,-48.90743,-47.429,-1042.278,-106.3515,95.33367,-221.7147,46.04616,193.2144,-641.5366,-37.49133,340.277,-1043.541,-133.9129
136.3998636,-18.95922,439.8564,-82.47576,-10.83575,217.4061,-41.4129,0,0,0,-168.5646,214.276,-40.57185,-208.6953,80.35224,253.7329,-84.42113,8.790329,444.0964,136.7486,222.277,-40.57182,173.9444,2.942791,175.6055,60.21635,-54.71837,399.471,-93.76485,-219.4618,42.15064,-83.582,-652.0082,-49.97574,-64.98512,-1048.7,-120.5534,101.9403,-216.459,46.12234,160.2002,-644.1462,-39.93763,317.1832,-1041.009,-157.3667
136.4665302,-41.79093,434.2439,-104.489,-23.52507,217.1469,-50.25338,0,0,0,-180.5058,203.539,-51.2129,-300.7074,80.57503,172.5105,-264.2933,33.13705,412.4749,127.9574,233.8563,-51.21291,123.1248,-11.96404,184.3751,-1.777535,-65.09389,383.1247,-79.50316,-224.744,47.30692,-103.4017,-654.8708,-59.26406,-87.16026,-1059.809,-136.942,110.1317,-207.6703,50.75134,131.6331,-644.6202,-34.6287,279.8498,-1033.086,-157.5992
136.5331968,-43.51855,430.917,-119.1081,-22.85601,216.5016,-56.66779,0,0,0,-185.3896,195.7774,-57.05974,-330.8499,76.5959,167.9274,-309.0193,11.06024,407.1319,133.2978,237.0709,-57.05975,64.97916,-19.31242,199.0966,-78.27497,-72.62403,372.6833,-83.53619,-231.1546,54.94131,-103.1108,-656.4274,-76.2551,-80.55442,-1070.995,-143.2218,113.5945,-205.6584,55.10822,143.2415,-643.0244,-44.68795,292.0187,-1026.278,-157.84
136.5998634,-50.17754,429.1451,-100.197,-24.44361,217.2834,-45.38409,0,0,0,-181.2212,192.529,-45.45222,-387.6626,120.2212,119.9909,-449.4908,126.1494,364.1931,121.6428,242.7569,-45.45222,105.2134,-6.638115,188.8221,-18.12904,-78.2907,423.1018,-73.11366,-234.4827,45.18552,-94.10303,-649.4167,-97.37873,-63.98061,-1065.329,-158.0574,116.1959,-204.2234,50.79493,131.0438,-651.8306,-7.256254,255.8844,-997.8016,-220.3297
136.66653,-52.58346,430.0547,-81.0952,-25.56415,217.9873,-34.06564,0,0,0,-170.0572,193.3235,-31.29565,-378.7012,123.8872,93.17468,-459.1986,186.9181,262.0414,117.2975,245.1373,-31.29564,148.1792,-11.50415,186.2176,77.04276,-78.64135,442.9475,-64.9894,-233.153,40.70693,-99.15663,-642.0681,-100.1268,-71.81554,-1059.962,-157.5028,116.0603,-203.8329,33.26952,82.70132,-651.1613,35.61989,187.4333,-994.2281,-197.7419
136.7331966,-49.98163,431.4749,-87.21951,-24.46928,217.921,-39.32336,0,0,0,-168.8236,194.2478,-40.52388,-382.3539,118.4072,134.9715,-455.1579,200.6292,339.5132,124.8174,242.3421,-40.5239,167.01,-12.77035,164.7917,110.1832,-76.11005,426.9919,-103.7822,-241.8097,32.32144,-91.25235,-669.1123,-75.25504,-66.96118,-1084.772,-168.9121,116.8238,-204.9877,42.72366,107.2985,-653.9225,28.26091,184.34,-977.4371,-228.8734
