Time,Parts0_X,Parts0_Y,Parts0_Z,Parts1_X,Parts1_Y,Parts1_Z,Parts2_X,Parts2_Y,Parts2_Z,Parts3_X,Parts3_Y,Parts3_Z,Parts4_X,Parts4_Y,Parts4_Z,Parts5_X,Parts5_Y,Parts5_Z,Parts6_X,Parts6_Y,Parts6_Z,Parts7_X,Parts7_Y,Parts7_Z,Parts8_X,Parts8_Y,Parts8_Z,Parts9_X,Parts9_Y,Parts9_Z,Parts10_X,Parts10_Y,Parts10_Z,Parts11_X,Parts11_Y,Parts11_Z,Parts12_X,Parts12_Y,Parts12_Z,Parts13_X,Parts13_Y,Parts13_Z,Parts14_X,Parts14_Y,Parts14_Z
32.999967,-2.751799,455.4733,-13.64707,-3.490117,228.6859,-15.11335,0,0,0,-175.8509,216.5904,-15.18133,-267.2062,-38.80499,90.22134,-314.7711,45.84605,352.3084,177.4137,222.7398,-15.18132,210.2846,-10.95784,117.2812,202.063,32.3175,376.0469,-94.88963,-224.3654,0.03127147,-150.3273,-672.3019,2.906596,-154.8277,-1106.953,-103.6685,102.7328,-220.5452,-3.020306,115.8948,-680.332,68.10828,118.9332,-1131.681,17.39671
33.0666336,-2.296972,447.3224,-7.558255,-1.699843,224.4152,-9.615355,0,0,0,-177.6367,220.557,-8.274853,-259.7979,-34.42149,113.2783,-280.7144,48.30432,379.6782,174.1835,219.2105,-8.274844,226.4846,-13.4863,102.4807,242.519,34.62683,359.1678,-95.67097,-221.8848,0.9717331,-136.9578,-664.2928,20.44701,-141.6068,-1101.798,-86.10216,97.39394,-228.0942,1.599419,132.2426,-669.5493,53.6286,150.9669,-1128.275,5.579538
33.1333002,-5.987937,446.1834,-14.47137,-5.125789,223.3563,-11.45918,0,0,0,-176.3925,220.6624,-8.933287,-258.6755,-39.42731,110.6048,-275.231,38.24539,379.6246,167.7449,223.8903,-8.933278,230.153,-22.45766,85.23808,241.5219,30.79446,343.6082,-88.85769,-222.8944,8.385793,-123.5186,-668.6404,20.13411,-125.9394,-1112.404,-80.25633,101.3759,-221.806,10.91842,140.974,-674.4474,41.59879,168.8909,-1124.334,-14.95904
33.1999668,-8.737938,445.8932,-12.46546,-8.791681,223.7059,-8.296728,0,0,0,-174.2567,216.3712,-6.213661,-261.4821,-32.94858,122.795,-251.7967,46.58264,391.2417,157.9008,221.8881,-6.213693,238.7693,-17.14386,84.26044,255.9647,38.87794,342.9206,-83.62326,-222.8618,7.853197,-113.7288,-678.0961,23.35098,-113.1862,-1111.334,-67.33341,101.4671,-221.6252,13.36779,145.1396,-667.1526,28.09406,179.2622,-1124.276,-39.56077
33.2666334,-17.79735,449.3227,-16.41446,-12.20931,224.1164,-11.38574,0,0,0,-172.4618,212.945,-9.877503,-285.2312,-33.39914,100.6011,-269.9935,43.17081,366.4991,150.7386,228.2077,-9.877515,232.2782,-17.58392,101.2261,230.1552,34.36624,359.134,-75.60506,-230.114,7.507226,-115.6413,-676.4198,25.81382,-94.75857,-1121.123,-72.89127,106.1656,-220.4561,13.11926,156.361,-672.9191,19.78385,194.2523,-1121.46,-57.60817
33.3333,-23.29564,447.2161,-13.4113,-11.0145,223.7966,-10.56995,0,0,0,-177.7166,210.7025,-7.105149,-286.3827,-32.11923,108.0561,-255.2,47.01079,376.695,154.6467,228.2501,-7.105145,243.3016,-17.87228,95.34413,239.7972,34.22108,365.6816,-88.99773,-230.0318,12.51677,-124.9466,-676.4348,28.68142,-87.23862,-1124.24,-62.696,106.0924,-220.7022,15.68572,150.7825,-672.8297,10.41129,195.8385,-1123.862,-70.52906
33.3999666,-31.07141,451.463,-10.01918,-15.47866,227.1495,-7.632506,0,0,0,-180.5236,209.7822,-4.712132,-312.6212,-14.71075,96.73103,-273.8663,50.95882,359.7621,148.1956,236.9376,-4.712155,236.1124,-12.77577,104.2684,231.0718,35.98021,377.7104,-86.0687,-231.1171,12.62874,-112.6672,-677.3007,45.27578,-66.04602,-1119.509,-59.82676,110.2676,-217.564,11.69085,157.3296,-669.566,-1.896103,208.7899,-1111.088,-99.11311
33.4666332,-27.84379,445.3811,-10.78552,-12.56418,223.5582,-7.585301,0,0,0,-170.743,208.4773,-5.525309,-322.1921,3.790497,71.25999,-296.3175,50.89549,329.1615,144.4092,234.2034,-5.525331,230.2822,-12.68056,108.4439,230.999,28.3582,376.0952,-84.03957,-232.9781,13.39501,-103.2222,-676.1718,54.18295,-43.19331,-1101.699,-71.69004,107.4821,-220.0654,8.616395,155.982,-678.3358,-1.009119,226.7715,-1080.837,-153.0897
33.5332998,-50.72979,447.9198,-17.72836,-23.59264,224.8693,-10.81012,0,0,0,-188.6436,195.2517,-8.078385,-350.958,-16.20255,81.51478,-333.2122,38.81506,347.0437,138.4936,244.3074,-8.078394,209.72,-22.42751,128.7801,183.7107,21.24777,403.4535,-74.96383,-239.6727,13.91154,-117.5534,-687.213,42.6746,-53.83187,-1128.698,-74.62566,120.7383,-215.9355,14.33147,156.8018,-674.2803,-3.884454,219.3086,-1091.38,-138.1834
33.5999664,-7.264683,430.6934,-1.583071,-5.173378,215.8722,-4.093346,0,0,0,-172.0848,216.6068,-6.480167,-399.5786,46.97137,-44.08801,-463.127,80.52437,177.9348,145.952,218.6161,-6.480179,250.4149,-6.647156,75.29276,314.6141,24.91542,333.9746,-91.80106,-221.0647,29.86745,-77.87677,-651.4973,72.69073,-32.3527,-1073.09,-94.81162,90.31814,-216.2865,-1.663657,163.8322,-681.8212,11.18385,180.6759,-1013.099,-207.5968
